prompt,chosen,rejected
"Once upon a time, in","Once upon a time, in a small house, there lived a little boy named Timmy. Timmy loved to play outside in the sun and have fun with his friends. One day, Timmy's mom told him that it was time to go inside to eat dinner.
","Once upon a time, in a big, noisy forest, there was a big dog. It loved to chase and eat bugs. One day, the big dog saw a little lamb! The little lamb was scared and said, ""I dare you to attack me.""

The"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to bake with her mommy every day. One day, they were in the kitchen, showing her how to make the dough for their muffins. Lily wanted the muffins to be sweet and soft,","Once upon a time, there was a little girl named Lily. She loved to play with her toys and eat her favorite snacks. One day, she found a big, ugly sack in her room. She was so happy that she decided to use it to store all of her favorite"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She was very spoiled. She loved to have lots of sweets and have fun all the time.

One day, while playing, she saw a ball being broken, so she quickly grabbed it and ran away so","Once upon a time, there was a little girl named Lily. She loved to play outside and explore. One day, she saw a big tree and decided to climb it. As she climbed, she saw a big, scary dog. The dog was very hungry and wanted to eat"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play outside in the garden. One day, she saw a big tree with a lot of leaves. She wanted to climb it, but her mom said no. 

Lily was sad and","Once upon a time, there was a boy named Tim. Tim was very curious and always wanted to learn new things. One day, Tim found a big dictionary at his house. 

Tim asked his mom to help him find some words he needed to know. 
"
"One day, a silly cat","One day, a silly cat started to play outside. He tried to catch the ball and he got bored. He saw an old tree and went for a closer look. It was very special. 
He climbed up the tree and peeked at the sky. Suddenly, the","One day, a silly cat named Tom was playing in the park. He saw a big tree with many leaves. Tom wanted to climb the tree, but he was scared. He wanted to stay safe.

Tom saw a little girl named Sue. Sue said, ""Don"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She had a big, fuzzy bear that she loved to eat when she was bored. One day, while she was playing a game with her friends, she accidentally broke her toy car. She was sad and couldn't","Once upon a time, there was a little girl named Lily. She loved to play outside in the sun. One day, she saw a big, red ball in the park. She wanted to play with it, but she was scared.

Lily's mom saw her"
"Once, there was a boy","Once, there was a boy named Timmy who loved to play outside. One day, he got caught in the middle of a huge storm. He felt very uncomfortable, but he kept playing until it passed. The sky was getting very dark and windy. Then, Timmy","Once, there was a boy named Timmy. Timmy loved to play with his toys and run around in the park. One day, Timmy's mommy told him to go outside and play with his toys. Timmy was so excited to go outside and play, but"
"Once upon a time, in","Once upon a time, in a cave near a river. There lived a young hippo. He liked to play on the banks of the river, but one day he forgot to clean his feet. He started to jump and splash without any care for his feet. The stream suddenly","Once upon a time, in a small village, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big tree with many leaves. She wanted to climb the tree and see what was under it.

Lily"
"Once upon a time, there","Once upon a time, there was a clever girl called Amy. She was very enthusiastic about playing outside in the warm sun, so one day she decided to go on an adventure.

Amy climbed into the big rock at the edge of the forest, and she sat down in","Once upon a time, there was a little girl named Lily. She loved to play outside and explore the world around her. One day, she found a special box in the park. She was so happy to find it! Inside the box, she found a big, colorful balloon"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play with her toys and eat yummy food. One day, Lily's mommy told her to brush her teeth and put on her favorite hat. 

Lily didn't want to brush","Once upon a time, there was a lazy dog named Mittens. Mittens loved to play with his ball every day. One day, while playing, Mittens accidentally broke his ball on the rug. Mittens was sad and started to cry. 

After a few"
"Once upon a time, there","Once upon a time, there was a brave little girl named Lily who loved to wear her favourite pink dress. She was always eager to go outside to play. One day, she saw a big, scary thing at the park. It was the polar bear, a furry animal with","Once upon a time, there was a little girl named Lily. She loved to play with her toys in her room. One day, her mommy told her to be careful when playing with her toys. Lily didn't want to listen, but her mommy was right. She"
"One day, a big whale","One day, a big whale went for a boat ride. While on the boat, it saw one fish swim fast and swim fast. The whale wanted to do the same with them.

The whale had a plan. It wanted to swim fast up and down, into the","One day, a big whale named Tom saw a big ball. Tom wanted to have the ball. He wanted to play with the ball. He asked his friends, ""Can I have the ball?""

His friend, a little bird named Sue, said, ""No,"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play outside in the sun. One day, she went to the park with her mommy and daddy. They saw a big slide and decided to go on it.

As they were sliding down","Once upon a time, there was a wise spider who lived in a big box with many friends. One day, the wise spider went for a walk in a pretty garden. Suddenly, the spider heard a voice. ""Hello there!"" said a cheerful voice. 

The"
"Once upon a time, there","Once upon a time, there lived a friendly little boy called Sam. Sam loved to play and explore the world around him. He liked to explore and find new things.

One day, Sam felt very restless, so he decided to take a walk in the park. He","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, yellow bird with a nest on its back. Lily wanted to take a closer look, so she went closer to take a closer look"
"One sunny day, a pretty","One sunny day, a pretty cat named Kitty found a small notebook filled with pictures of her cats. She picked up the notebook and went for a walk. There, she met two friends, a tall little cat named Tim and a little dog named Buddy. ""Bye bye,","One sunny day, a pretty girl named Lily was walking in the park. She saw a big, round, red ball. She wanted to play with the ball, so she ran to it.

Lily's mom saw her and said, ""Lily, you can"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to go outside and play with her friends. One day, she saw a group of animals at the park. She didn't know many of them, so she asked one of them, ""Can I play","Once upon a time, there was a little girl named Lily. She loved to play outside and look at the birds flying in the sky. One day, she saw a big, scary owl flying near her. 

Lily said, ""Ow, ow! Ow"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play in the garden with her friends. One day, they saw a big, red ball. Lily wanted to play with the ball, but her mom said it was too big for her.

","Once upon a time, there was a little boy named Timmy. Timmy loved to play outside in his backyard. One day, he saw a big truck coming on the scene. The truck was very noisy and it scared Timmy.

Timmy tried to calm down"
"Once upon a time, there","Once upon a time, there was a small bunny. The bunny loved to go for zooming through the grass with its long legs. Along the way, they would run and jump and hop around, looking for bugs and flowers.
One day, they came across a bush full","Once upon a time, there was a little girl named Lily. She loved to play with her toys and eat cookies. One day, she found a big, shiny coin on the ground. She picked it up and showed it to her mommy.

""Look, Mom"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play with her toys and run around outside. One day, her mom said, ""Lily, it's time to clean your room. You need to do it in a hurry.""

L","Once upon a time, there were two best friends in high school. One was a nice girl named Amy, who always wanted to win a contest. The other girl was named Anna. She wanted to win a medal, but she didn't have any money. 

One"
"Once upon a time, there","Once upon a time, there was a bird who lived on a tree in a tall tree. He was very kind and happy when he saw a child playing with a toy. The bird wanted to help the child and play with them.

One day, the child ran around","Once upon a time, there was a little girl named Lily. She loved to play in the park with her friends. One day, they saw a big tree with a big branch. Lily wanted to climb the branch to get to the top.

Her friend, Timmy"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play with her toys. One day, she went outside to play. While she was playing, she saw a big, gray ball bouncing on a tree. Lily's mom saw it too and asked if","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, round rock in the park. She wanted to climb it, but it was too high for her.

Lily's mom"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play outside in the sun. One day, she saw a big, scary dog barking at a little girl named Sue. ""What are you doing?"" asked Lily. Sue told her that she was going","Once upon a time, there was a big lion named Tom. Tom was very brave. He liked to explore and make new friends. One night, Tom went to a big meadow and saw a butterfly. He wanted to go chase the butterfly, but the butterfly was too big"
"Once upon a time, there","Once upon a time, there was a boy named Timmy. He loved to take walks in the woods with his mommy. One day, they went for a walk and stumbled across a big, gray hole. Timmy saw that it was empty and thought that it was filled","Once upon a time, there was a little girl named Lily. She loved to play outside in the sun and look up at the sky. One day, she saw a big, beautiful star in the sky. It was so big and bright that she couldn't see it. "
"Once upon a time, in","Once upon a time, in a small town, a very kind girl named Anna loved to play with her toys. One day, Anna saw a large tree with many things inside. She opened the trunk and saw a jar of peanuts inside.

Anna's friend Max came running","Once upon a time, in a small house, there lived a little girl named Lily. She loved to play outside and explore the world around her. One day, she saw a big, red truck outside her window. It was very scary and made her scared. 

"
"One day, a little boy","One day, a little boy named Tim went to the park. He saw many beautiful things that he could see. He saw a big lake and he thought it looked cool. 

Tim also saw a very small bird, named Tweety. Tweety lived far away,","One day, a little boy named Tim went to the park with his mom. Tim saw a big slide and wanted to try it. He ran to the slide and tried to slide down. But he slipped and fell down. He hurt his knee and couldn't go up the slide"
"One day, a boy named","One day, a boy named Tim went to the zoo. He was very excited about going to the zoo. Tim found a big cage that was empty. He was scared because everything was empty. Tim went to the zoo to see if any animals were in the cage. Tim saw","One day, a boy named Tim went on a trip. He wanted to go on a big adventure. He packed his bag with snacks and clothes. He was tired and wanted to sleep.

Tim went to the park. He saw a big tree. He wanted to climb"
"Once upon a time, in","Once upon a time, in a big city, there was a big red car. It was very fast and loud. One day, a little girl named Lily went to the car with her mom. She saw a big, red button on the car. She asked her mom,","Once upon a time, in a blueberry patch, two friends, Sam and Emma, both wanted to join in on a big picnic together. One was too young to eat the delicious blueberries they couldn't find.
Sam asked Emma, ""Can you supply the blueberries"
"Once upon a time, in","Once upon a time, in a tiny town, there lived a little boy named Tom. Tom loved to play with his toy planes everywhere! One day, he found a big red plane in his neighbor's yard!

Then, Tom's friend came over to play. ""","Once upon a time, in a small house, there lived a little girl named Lily. She loved to play outside in the sun. One day, she saw a big, red bird flying in the sky. Lily wanted to catch the bird, but she didn't know how."
"Once upon a time, in","Once upon a time, in the wild, there lived a big bear named Sam. Sam loved to eat nuts and candy. One day, Sam found a big bag of nuts and ate it all. He was very happy because he could be so adventurous every day.

The","Once upon a time, in a small town, there was a little girl named Lily. She loved to play outside and run around. One day, she saw a big, scary dog in the yard. She ran over to it and barked. The dog barked back and"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. One day, she accidentally spilled some water on her hand. Her hand was red and it hurt all over. However, Lily didn't know that a bandage would clean it up.

Lily's mom","Once upon a time, there was a little girl named Lily. She loved to play outside in the park. One day, she saw a big, red ball in the park. She wanted to play with it, but she was scared.

Lily's mommy told"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. Her mommy gave her a colorful balloon and told her to make it into a special pet. Lily went outside and found a nice spot to stand up on. She picked up the balloon and tied it on her knee","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big tree with a beautiful white crown. She wanted to climb the tree, but she was scared.

""Mommy, can I"
"Once upon a time, there","Once upon a time, there was a little boy named Timmy. He loved to play with his toys even when it was hot outside. One day, Timmy's mom bought him a new toy to play with - a fire alarm! Timmy was very excited, but he","Once upon a time, there was a little girl named Lily. She loved to explore the world around her. One day, she found a magical spark in the ground. She picked it up and looked around. It was so beautiful.

Lily decided to take the spark"
"Once upon a time, in","Once upon a time, in a big, green field, there lived a little girl named Lily. She loved to play with her toys and run around outside. One day, her mommy asked her to help clean up the garden. Lily was very obedient and helped her mommy","Once upon a time, in a magical forest, a little cat named Molly was hiding in a tree. She was feeling lonely because she did not fit in with the other animals.

One day, Molly met a rabbit who liked to play and join in with Molly's day"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play outside and explore the world around her. One day, she saw a big, scary monster in the park. She was scared and ran away quickly.

Later, she saw a little boy","Once upon a time, there was a little boy. His name was Ben and he had a small toy train. Every day, Ben played with his small toy train everywhere he went.

But one day, Ben felt a bit upset. His toy train stopped moving. His"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved going to the park with her mommy and daddy. One sunny day, while sitting on a bench, Lily's little foot slipped from her shoe and fell. Unfortunately, the end of her shoe was gone","Once upon a time, there was a little girl named Lily. She loved to play outside in the sun. One day, she saw a big, red balloon in the sky. She wanted to touch it, so she ran to it.

Suddenly, a big, mean"
"Once upon a time, in","Once upon a time, in a small house, there lived a little girl named Lily. She loved to play with her toys and run around in her garden. One day, she saw a big, red truck in her backyard. It was so big and shiny that Lily couldn't","Once upon a time, in a small town, there was a family named Millie and her mom. Millie and her mom worked together in the kitchen. Millie loved her mom's delicate food.

One day, Millie asked her mom for some dough, but"
"Once upon a time, there","Once upon a time, there was a big, furry cat who loved to eat flowers. He liked to bite and chew on them all day long. But this day, his favorite flower was bitter. The cat felt sad that he spent all his money and not had any more to","Once upon a time, there was a little girl named Lily. She loved to play in the park with her friends. One day, they decided to go for a walk and see what was in the bushes. As they were walking, Lily saw a big, green tree that looked"
Once there was a graceful,"Once there was a graceful figure, who had a special gift for all. He lived a quiet life in a beautiful tree. All in the world, his trees were not very good, but he loved his one in the forest. Everywhere he went, he would offer his little","Once there was a graceful cat named Sally. Sally loved to play with her friends. One day, Sally saw a big, shiny rock. She wanted to pick it up and show it to her friends.

Sally went to the rock and picked it up. But"
Once upon a time there,"Once upon a time there was a little girl named Lily. She loved to play outside and explore the world around her. One day, she saw a big, green tree in the park. She wanted to climb it, but her mommy said it was too high. ","Once upon a time there was a fat man. He lived in a high tower with lots of doors and windows. Everywhere people went he saw lots of people. One day, as he was walking up the stairs, he saw a kind girl. The kind girl wanted to help"
"Once upon a time, there","Once upon a time, there was the famous dog named Max. Max loved to play with all his dogs and run around in the grass. One day, Max accidentally knocked over a big tree and broke two of his legs.

He started to cry because his leg hurt so","Once upon a time, there was a little girl named Lily. She loved to play outside and look up at the sky. One day, she saw a big, blue bird on the ground. She wanted to pet it, but it was too high for her to reach. "
"Once, there was a girl.","Once, there was a girl. She was so excited because today was her birthday! 
The girl looked everywhere for birthday presents.
Inside her house, there was an old tree with lots of candy on top. She asked her mom if she could take the chocolate and ask the","Once, there was a girl. She was very brave and always wanted to do something new. One day, she was walking in the park and noticed something strange. There was a big rock on the ground. She picked it up and looked at it. She was so excited!
"
Mommy and Emily were playing,"Mommy and Emily were playing in the garden. Emily saw a big, attractive thing. She wanted to touch it.

Mummy came outside. ""Don't touch the tree!"" she yelled. ""That's not nice!"".

Emily ran to the thickest branch","Mommy and Emily were playing in the living room. Emily had a big box of toys, and Mommy had a big box of clothes. Emily was very happy, but Mommy was a bit sad.

""Emily, Emily, can you help me find the clothes"
Once there was a little,"Once there was a little girl named Jane. She was three years old and wanted to have a special pet dog. 

In search of one of the most dependable furry creatures, Jane decided to give her pet a new name - Lucy. From her first day in","Once there was a little girl named Lily. She loved to play outside in the park. One day, she saw a big, scary bear. She wanted to run away, but the bear was too fast.

Lily tried to run, but the bear was too"
Once there was a girl,"Once there was a girl called Emily. She walked through the rain. Emily felt like she was dreaming.

Suddenly, she got so wet she could hardly stand up. She started to cry out in pain. The water started to splash in her face.

Everyone","Once there was a girl, who had a big, noisy car. She wanted to make it go fast, but it was too heavy. She asked her dad if he could help.

""Dad, can you help me build a big, noisy car?"" she asked"
"Once, there was a small","Once, there was a small girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the park. She wanted to play with it, but it was too high for her. 

She started to cry because","Once, there was a small boy named Tom. Tom loved apples. One day, he saw an apple on the market under a sign. Tom went to the apple tree and said, ""Who is this apple for?"" 

A small elf named Lily came to Tom and"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play with her toys and run around outside. One day, she saw a big, scary dog outside. She didn't want to play with it, but she knew she had to try.

","Once upon a time, there was a little girl named Polly. Her mommy took her to the big apple stand to pick a ripe apple. Polly was very happy and started to pick some.

Polly's mommy asked her to hold her hand and take a look"
Jack was feeling a bit,"Jack was feeling a bit grumpy today and decided to go on an adventure. He took a long walk in the park and came across an old tree. Standing among the spruce and pine trees was a beautiful tree. 
Jack jumped across the branch near the tree and","Jack was feeling a bit nervous. He was walking down the street when he saw a big red truck. He was so excited that he ran to the truck and started to run towards it.

The truck driver was having a bad day so he was trying to get Jack"
"Once upon a time, there","Once upon a time, there were two best friends named Alex and Mia. They were best friends who liked to play in the park together. One day, Alex got lost and wanted to go home. Mia was very worried and said that not all the animals should go home when they","Once upon a time, there was a little girl named Lily. She loved to play outside and play with her toys. One day, she saw a big tree with a big tree branch. She wanted to climb the tree and see what was inside. 

Lily went"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play outside in the garden. One day, she saw a big red apple on the ground. She picked it up and ate it.

Later that day, Lily's mommy asked her to","Once upon a time, there was a little girl named Lily. She loved to play with her favorite toy, a pink car called a Ferrari. One day, Lily took a vacation to a big hotel with her mom.

All the windows were closed, so Lily didn't"
Once there were two friends,"Once there were two friends. They were very excited to go to the park. They packed their bags and set off on their way.

When they arrived, they saw a big tree with a hole in it. They were so excited to explore the hole. They stepped","Once there were two friends. One was very adventurous and the other was more scared. One day a friend called them out of the dark, but they stayed and they stayed away. So one day the adventurous fellow asked the other a lot of questions. The other one was very"
"One night, two brave animals","One night, two brave animals named Benny and Milly went to the beach with a picnic blanket. When they arrived, they found their boat empty. It was the last time anyone would come to the beach.

But Benny's curiosity soon drove him to look inside the boat","One night, two brave animals were out in the woods. They were searching for food. Suddenly, they heard a loud noise. 

The animals looked around and saw a big, scary animal. The animal was charging at them. 

The animals were scared,"
Once upon a time there,"Once upon a time there were two friends, Tom and Sue. Tom liked to explore new continents with Sue, so they planned to go on a boat out to sea. Then they set out to go. Tom's boat wasn't big, so Sue had to help drive it","Once upon a time there was a little girl named Lily. She loved to play outside in the sunshine and explore the world around her. One day, she saw a big tree in the park and decided to climb it. 

As she climbed, she saw a bird"
"Once, there was a little","Once, there was a little girl named Lily. She loved to play outside in the mud and mud because it made her strong. One day, her mommy told her to help clean up the trash from the park. Lily quickly joined in and spent a lot of time pulling and","Once, there was a little boy named Timmy. Timmy loved to play with his toys, but one day he started to cry. He tried to hide, but he couldn't.

His mom saw what was happening and asked, ""What's wrong, Timmy"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play with her toys and have fun. One day, Lily's mommy gave her a big cup of coffee. Lily wanted to drink the coffee, but she didn't know how.

L","Once upon a time, there was a mommy and a little girl who loved to bake cakes. Today, they wanted to bake something special. Mommy went to the store to buy a big cake, but it was too expensive. She couldn't find her penny. 
"
"Once upon a time, there","Once upon a time, there was a little girl named Lily who loves to play dress up. One day, she decided to dress up as a brave knight and take on a dangerous mission. As she marched into the forest, she saw a big arrow hanging in the air. She","Once upon a time, there was a little girl named Lily. She loved to play with her toys and explore the world around her. One day, she saw a big, scary monster outside her window. She ran inside and saw her mommy and daddy.

""Mom"
Once there was a naughty,"Once there was a naughty owl who flew around in a big cloud. Some animals liked to admire him because the cloud made his feathers sparkle. 
The naughty owl used his beautiful voice to tell all the animals all about special places in the forest. 
One day","Once there was a naughty girl named Lucy. She was three years old and loved to play with her toys. One day she found a toy that was too big for her. She was very sad because she wanted to play with it.

Lucy's mommy came"
Jim was very frightened when,"Jim was very frightened when he saw something that seemed very ugly. It was a monster! Jim tried to jump as high as he could but the monster didn't like him. He just kept on walking. Jim wished he had listened to a lady who warned him before.
","Jim was very frightened when he saw the train. He was so scared that he started to cry. He ran to his mom and said, ""Mommy, look! The train is coming!"" His mom looked at the train and said, ""Oh no! The train is"
"One cold winter day, Tilly","One cold winter day, Tilly wandered in the snow with a big smile on her face. It was a bit bitter, but she kept walking anyway, laughing and jumping in the icy mud. Suddenly, she heard rustling in the snow, and Tilly jumped, shearing off","One cold winter day, Tilly was walking through the woods. She saw a big tree with many leaves. She wanted to climb the tree, but it was too tall.

Tilly started to climb the tree, but she was getting frustrated. She wanted to reach the top"
Once upon a time there,"Once upon a time there was a family who wanted to visit their grandma. So they went exploring in the park. Everything was quiet and comfortable. As they were walking back, the mom started talking about how they had a surprise on their way to their grandma, and that it","Once upon a time there was a little girl who wanted to try something new. She wanted to do something different and exciting. She asked her mommy if she could go for a walk with her. Her mommy said yes and they went for a walk. 

"
Once upon a time there,"Once upon a time there were two friends, Jack and Sophie. Every day Jack and Sophie would have their special activities on the day before, always with Jack.

Every day for a very long time Jack and Sophie had plans to make it the best time ever. To","Once upon a time there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, round ball on the ground. She wanted to play with it, so she started to pick it up. 

Suddenly,"
"Once upon a time, there","Once upon a time, there was a little boy named Tim. Tim loved to play in the park. One day, Tim saw a big bird with feathers. The bird looked happy and brave. Tim wondered what kind of bird it was and watched carefully.

Tim noticed that","Once upon a time, there was a little girl named Lily. She loved to play outside in the garden. One day, she saw a big, green frog. The frog was very friendly and said, ""Hi, Lily! Do you want to play with me?""

"
Once upon a time there,"Once upon a time there was a little bird called Pip. She was very curious so she wanted to find out how far away she was. Every day, Pip would look around searching for the sky, but she always seemed to go out in all directions.

One day","Once upon a time there was a little girl named Lily. She was three years old and loved to play in the park. One day, she saw a big, scary lion. She wanted to help, so she ran towards it. 

The lion saw Lily and"
"One day, Jane and her","One day, Jane and her mom went for a walk. They found a big hill with some birds flying on it. Jane was so excited to explore more of the hill. Suddenly, she saw some big cats running around.

Jane was scared as she heard them come closer","One day, Jane and her mom went to the park. Jane was very excited, but she was also nervous. She saw a big, scary dog in the park. Jane was scared of the dog.

""Mommy, look at the dog!"" Jane said.
"
It was a sunny day,"It was a sunny day, and the little girl was looking out of her window. She saw an attractive, white car. It seemed to be parked on the grass, and the girl was excited.

She stepped closer to it and asked if she could have a ride","It was a sunny day and the birds were singing in the trees. Anna was very excited and wanted to join in. She ran to the tree and started to sing.

""Hello, birds! What are you singing?"" Anna asked.

""I am singing"
"Once, there were two friends","Once, there were two friends named Tim and Sam. They lived in high-rise buildings, and often shared an air mattress. But that's all changed today, because Sam lost his favorite pill sack. He tried looking for it, but it was nowhere to be found.
","Once, there were two friends, Tom and Lily. They loved to play together in the park. One day, they saw a big, red balloon in the sky. Tom said, ""Let's go and see it!""

Lily said, ""OK, but be"
"One day, Little Bear and","One day, Little Bear and his friend, Tom, went to the park. They saw a big slide and wanted to play on it. Little Bear said, ""Let's go!"" Tom agreed and they started to slide down the slide. They laughed and had fun.

","One day, Little Bear and his mom went out to a big park. The day was bright and fun. Little Bear felt very happy and alert. 
Little Bear saw a fox hopping around. The fox saw Little Bear and growled at the bird. Little Bear was scared"
"Once upon a time, a","Once upon a time, a little girl was exploring. She looked around and saw something she had never seen before, so was excited. She wanted to take a closer look. So she called out to the trees and bushes, pointing for the way out of the tree. Suddenly,","Once upon a time, a little girl named Lily went to the park with her mom. She saw a big slide and wanted to go on it. But her mom said no because it was too dangerous. Lily felt sad and didn't want to go on the slide.

"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play in the flowerbeds and look at all the pretty green things inside. One day, her mom called her inside to tell her about a special treat for the store. Lily was excited, but","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big tree with a big apple. She wanted to pick the apple, but she didn't know how to do it. 

L"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play outside and run around. One day, she found a big, red ball in the park. She picked it up and threw it in the air. It bounced and flew high in the air.","Once upon a time, there was a wealthy prince who was looking for a new wardrobe. One day when he was having a fun day in the forest, he found an attractive, magical wardrobe. The prince was feeling curious about it, so he decided to try it, and he"
Once upon a time there,"Once upon a time there was a small girl called Lucy. One day while she was playing in the park, she heard a loud noise. It was her mother calling her over. She looked down, and she had seen the sky turn dark. With her mother's urging,","Once upon a time there was a little girl. She was very curious and wanted to explore the world. One day, she went outside and saw a big, bright red flower. She was so excited to pick it, and she carefully picked it up. 

When"
